глагол,частота
|styti,140
biti,18
планетeti,15
иati,9
s><sti,7
_prezati,7
чврстeti,6
дошлоeti,5
s><s>ati,5
појасeti,4
важнуeti,4
<prezati,3
оставилiti,3
</,3
земљеeti,3
астероидti,3
{|styti,3
>charlottesviti,3
сукобeti,3
слабоeti,3
<osobati,2
својеeti,2
сati,2
напуштeti,2
продрeti,2
гасаeći,2
собомeti,2
потичeti,2
улогуeti,2
леђаeći,2
живелeti,2
!scopiti,2
епскеeti,2
sati,1
<s>eti,1
}-,1
смештајiti,1
alići,1
<htmti,1
отварeti,1
<s><iti,1
imeti,1
ime_iti,1
umrlati,1
личеeći,1
<s>little,1
дошлеeti,1
нашлаeti,1
зидалeti,1
отварањiti,1
прикључиti,1
медаљeti,1
смештенiti,1
definitivati,1
започнeti,1
s><s>diti,1
ималиeti,1
арапиeti,1
елементiti,1
орбитeti,1
масеeći,1
увлачилiti,1
изградњi,1
прерастiti,1
<s>{|styti,1
оставeti,1
изборeti,1
пресуднiti,1
држањeti,1
довелeti,1
мотивeti,1
оснивајiti,1
<s>u,1
nastati,1
moći,1
ubrojiti,1
изводилiti,1
црпеeći,1
гајилeti,1
налазeti,1
postavljati,1
jenjavati,1
proširivati,1
прстеeti,1
утицалeti,1
падајeti,1
започелiti,1
baliti,1
balliti,1
јављалeti,1
изазвалiti,1
просторiti,1
крдаeći,1
dominiti,1
left,1
продрлeti,1
ridicuti,1
напреткiti,1
гушењeti,1
такмичилti,1
реагујeti,1
